# DisplayName	AssetName	SourceEra	ProjectEraHint	SourcePack	SourceGroup	SourceCategory	ProjectCategoryHint	GameplayCategory	BuildCost	BlueprintCost	ConnectionCostPerCell	IsLandmark	KeybindAction	AssetPath	BlueprintPath
Circus	DA_T6Circus	Colonial	Colonial	Colonial	Colonial	Entertainment	Entertainment	Entertainment	4800	0	0	False	BuildCircus	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Circus.uasset	/Game/Blueprints/Buildings/Colonial/Circus/BP_T6Circus.BP_T6Circus_C
Streetperformer	DA_Streetperformer	Colonial	Colonial	Colonial	Colonial	Entertainment	Entertainment	Entertainment	400	0	0	False	BuildStreetperformer	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_Streetperformer.uasset	/Game/Blueprints/Buildings/ColdWar/Streetperformer/BP_T6Streetperformer.BP_T6Streetperformer_C
Tavern	DA_T6TavernBP	Colonial	Colonial	Colonial	Colonial	Entertainment	Entertainment	Entertainment	1200	0	0	False	BuildTavern	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6TavernBP.uasset	/Game/Blueprints/Buildings/Colonial/Tavern/BP_T6Tavern.BP_T6Tavern_C
Coconut Harvester	DA_T6CoconutHarvester	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource		800	0	0	False	BuildCoconutHarvester	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6CoconutHarvester.uasset	/Game/Blueprints/Buildings/Colonial/CoconutHarvester/BP_T6CoconutHarvester.BP_T6CoconutHarvester_C
Fishermens Wharf	DA_T6FishermensWharf	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource		1200	0	0	False	BuildFishermensWharf	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6FishermensWharf.uasset	/Game/Blueprints/Buildings/Colonial/FishermensWharf/BP_T6FishermensWharf.BP_T6FishermensWharf_C
Logging Camp	DA_T6LoggingCampBP	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource		750	0	0	False	BuildLoggingCamp	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LoggingCampBP.uasset	/Game/Blueprints/Buildings/Colonial/LoggingCamp/BP_T6LoggingCamp.BP_T6LoggingCamp_C
Mine	DA_T6Mine	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource	SoilResources	1200	0	0	False	BuildMine	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Mine.uasset	/Game/Blueprints/Buildings/Colonial/Mine/BP_T6Mine.BP_T6Mine_C
Pile OfBS	DA_T6PileOfBSBP	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource		300	0	0	False	BuildPileOfBS	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6PileOfBSBP.uasset	/Game/Blueprints/Buildings/Colonial/PileOfBS/BP_T6PileOfBS.BP_T6PileOfBS_C
Plantation	DA_Building_Plantation	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource		1500	0	0	False	BuildPlantation	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_Building_Plantation.uasset	/Game/Blueprints/Buildings/Colonial/Plantation/BP_Building_Plantation.BP_Building_Plantation_C
Ranch	DA_T6Ranch	Colonial	Colonial	Colonial	Colonial	FoodAndResources	FoodResource		900	0	0	False	BuildRanch	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Ranch.uasset	/Game/Blueprints/Buildings/Colonial/Ranch/BP_T6Ranch.BP_T6Ranch_C
Dungeon	DA_T6DungeonBP	Colonial	Colonial	Colonial	Colonial	Government	GovernmentFinance		3000	0	0	False	BuildDungeon	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6DungeonBP.uasset	/Game/Blueprints/Buildings/Colonial/Dungeon/BP_T6Dungeon.BP_T6Dungeon_C
Palace	DA_Building_Palace	Colonial	Colonial	Colonial	Colonial	Government	GovernmentFinance		0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_Building_Palace.uasset	/Game/Blueprints/Buildings/Palace/Building_Palace.Building_Palace_C
Trade Institute	DA_T6TradeInstitute_BuildingBP	Colonial	Colonial	Colonial	Colonial	Government	GovernmentFinance	Govermental	8500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6TradeInstitute_BuildingBP.uasset	/Game/Blueprints/Buildings/DLC/LlamaOfWallStreet/WorldWar/TradeInstitute/BP_T6TradeInstitute_Building.BP_T6TradeInstitute_Building_C
Bunkhouse	DA_T6Bunkhouse	Colonial	Colonial	Colonial	Colonial	Housing	Housing	Residential	1200	0	0	False	BuildBunkhouse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Bunkhouse.uasset	/Game/Blueprints/Buildings/Colonial/Bunkhouse/BP_T6Bunkhouse.BP_T6Bunkhouse_C
Country House	DA_T6CountryHouseBP	Colonial	Colonial	Colonial	Colonial	Housing	Housing	Residential	850	0	0	False	BuildCountryHouse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6CountryHouseBP.uasset	/Game/Blueprints/Buildings/Colonial/CountryHouse/BP_T6CountryHouse.BP_T6CountryHouse_C
Mansion	DA_T6Mansion	Colonial	Colonial	Colonial	Colonial	Housing	Housing	Residential	1200	0	0	False	BuildMansion	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Mansion.uasset	/Game/Blueprints/Buildings/Colonial/Mansion/BP_T6Mansion.BP_T6Mansion_C
Shack	DA_T6ShackBP	Colonial	Colonial	Colonial	Colonial	Housing	Housing		0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6ShackBP.uasset	/Game/Blueprints/Buildings/Colonial/Shack/BP_Shack.BP_Shack_C
Lumber Mill	DA_T6LumberMillBP	Colonial	Colonial	Colonial	Colonial	Industry	Industry	Industrial	5600	0	0	False	BuildLumberMill	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LumberMillBP.uasset	/Game/Blueprints/Buildings/Colonial/LumberMill/BP_T6LumberMill.BP_T6LumberMill_C
Rum Distillery	DA_T6RumDistilleryBP	Colonial	Colonial	Colonial	Colonial	Industry	Industry	Industrial	9600	0	0	False	BuildRumDistillery	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6RumDistilleryBP.uasset	/Game/Blueprints/Buildings/Colonial/RumDistillery/BP_T6RumDistillery.BP_T6RumDistillery_C
Tannery	DA_T6TanneryBP	Colonial	Colonial	Colonial	Colonial	Industry	Industry	Industrial	6000	0	0	False	BuildTannery	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6TanneryBP.uasset	/Game/Blueprints/Buildings/Colonial/Tannery/BP_T6Tannery.BP_T6Tannery_C
Toy Workshop	DA_T6ToyWorkshop_BuildingBP	Colonial	Colonial	Colonial	Colonial	Industry	Industry	Industrial	6500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6ToyWorkshop_BuildingBP.uasset	/Game/Blueprints/Buildings/DLC/LlamaOfWallStreet/Colonial/ToyWorkshop/BP_T6ToyWorkshop_Building.BP_T6ToyWorkshop_Building_C
Construction Office	DA_Building_ConstructionOfficeBP	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure		2000	0	0	False	BuildConstructionOffice	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_Building_ConstructionOfficeBP.uasset	/Game/Blueprints/Buildings/Colonial/ConstructionOffice/BP_Building_ConstructionOffice.BP_Building_ConstructionOffice_C
Dock	DA_T6DockBP	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure		9600	0	0	False	BuildDock	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6DockBP.uasset	/Game/Blueprints/Buildings/Colonial/Dock/BP_T6Dock.BP_T6Dock_C
Landing	DA_T6LandingBP	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure		300	0	0	False	BuildLanding	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LandingBP.uasset	/Game/Blueprints/Buildings/Colonial/Landing/BP_T6Landing.BP_T6Landing_C
Storage Quay	DA_T6StorageQuayBP	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure		1700	0	0	False	BuildTeamsterPort	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6StorageQuayBP.uasset	/Game/Blueprints/Buildings/Colonial/StorageQuay/BP_T6StorageQuay.BP_T6StorageQuay_C
Teamsters Office	DA_Building_TeamsterBP	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure		2000	0	0	False	BuildTeamsterOffice	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_Building_TeamsterBP.uasset	/Game/Blueprints/Buildings/Colonial/TeamstersOffice/BP_Building_Teamster.BP_Building_Teamster_C
Trade Post	DA_TradePost	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure		1500	0	0	False	BuildTradePost	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\Colonial\TradePost\DA_TradePost.uasset	/Game/Blueprints/Buildings/Colonial/TradePost/DA_TradePost
Warehouse	DA_T6Warehouse_BuildingBP	Colonial	Colonial	Colonial	Colonial	Infrastructure	Infrastructure	Industrial	4000	0	0	False	BuildWarehouse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Warehouse_BuildingBP.uasset	/Game/Blueprints/Buildings/DLC/LlamaOfWallStreet/Colonial/Warehouse/BP_T6Warehouse_Building.BP_T6Warehouse_Building_C
Brandenburg Gate	DA_T6BrandenburgGateBP	Colonial	Colonial	Colonial	Colonial	Landmarks			10000	0	0	True	BuildBrandenburgGate	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6BrandenburgGateBP.uasset	/Game/Blueprints/Buildings/Landmarks/BrandenburgGate/BP_T6BrandenburgGate.BP_T6BrandenburgGate_C
Hagia Sophia	DA_T6HagiaSophiaBP	Colonial	Colonial	Colonial	Colonial	Landmarks			10000	0	0	True	BuildHagiaSophia	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6HagiaSophiaBP.uasset	/Game/Blueprints/Buildings/Landmarks/HagiaSophia/BP_T6HagiaSophia.BP_T6HagiaSophia_C
Registanof Samarkand	DA_T6RegistanofSamarkandBP	Colonial	Colonial	Colonial	Colonial	Landmarks			10000	0	0	True	BuildRegistanOfSamarkand	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6RegistanofSamarkandBP.uasset	/Game/Blueprints/Buildings/Landmarks/RegistanofSamarkand/BP_T6RegistanofSamarkand.BP_T6RegistanofSamarkand_C
Stonehenge	DA_T6StonehengeBP	Colonial	Colonial	Colonial	Colonial	Landmarks			10000	0	0	True	BuildStonehenge	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6StonehengeBP.uasset	/Game/Blueprints/Buildings/Landmarks/Stonehenge/BP_T6Stonehenge.BP_T6Stonehenge_C
Opera House	DA_T6OperaHouseBP	Colonial	Colonial	Colonial	Colonial	LuxuryEntertainment	LuxuryEntertainment	Entertainment	9880	0	0	False	BuildOperaHouse	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6OperaHouseBP.uasset	/Game/Blueprints/Buildings/Colonial/OperaHouse/BP_T6OperaHouse.BP_T6OperaHouse_C
Theater	DA_T6Theater	Colonial	Colonial	Colonial	Colonial	LuxuryEntertainment	LuxuryEntertainment	Entertainment	5300	0	0	False	BuildTheater	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Theater.uasset	/Game/Blueprints/Buildings/Colonial/Theater/BP_T6Theater.BP_T6Theater_C
Library	DA_T6LibraryBP	Colonial	Colonial	Colonial	Colonial	MediaAndEducation	MediaEducation	Research	3600	0	0	False	BuildLibrary	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6LibraryBP.uasset	/Game/Blueprints/Buildings/Colonial/Library/BP_T6Library.BP_T6Library_C
Newspaper	DA_T6Newspaper	Colonial	Colonial	Colonial	Colonial	MediaAndEducation	MediaEducation	Media	1800	0	0	False	BuildNewspaper	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Newspaper.uasset	/Game/Blueprints/Buildings/Colonial/Newspaper/BP_T6Newspaper.BP_T6Newspaper_C
Colonial Fort	DA_T6ColonialFortBP	Colonial	Colonial	Colonial	Colonial	Military	Military	Military	4000	0	0	False	BuildFort	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6ColonialFortBP.uasset	/Game/Blueprints/Buildings/Colonial/ColonialFort/BP_ColonialFort.BP_ColonialFort_C
Colonial Guard Tower	DA_ColonialGuardTower	Colonial	Colonial	Colonial	Colonial	Military	Military	Military	500	0	0	False	BuildGuardTower	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_ColonialGuardTower.uasset	/Game/Blueprints/Buildings/Colonial/ColonialGuardTower/BP_ColonialGuardTower.BP_ColonialGuardTower_C
Outpost	DA_T6OutpostBP	Colonial	Colonial	Colonial	Colonial	Military	Military	Military	500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6OutpostBP.uasset	/Game/Blueprints/Buildings/Colonial/Outpost/BP_Outpost.BP_Outpost_C
Pirate Cove	DA_T6PirateCoveBP	Colonial	Colonial	Colonial	Colonial	Military	Military	Raid	4000	0	0	False	BuildPirateCove	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6PirateCoveBP.uasset	/Game/Blueprints/Buildings/Colonial/PirateCove/BP_T6PirateCove.BP_T6PirateCove_C
Chapel	DA_T6Chapel	Colonial	Colonial	Colonial	Colonial	PublicServices	PublicService	Religious	1700	0	0	False	BuildChapel	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Chapel.uasset	/Game/Blueprints/Buildings/Colonial/Chapel/BP_T6Chapel.BP_T6Chapel_C
Grocery	DA_T6Grocery	Colonial	Colonial	Colonial	Colonial	PublicServices	PublicService		1200	0	0	False	BuildGrocery	C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Colonial\DA_T6Grocery.uasset	/Game/Blueprints/Buildings/WorldWars/Grocery/BP_T6Grocery.BP_T6Grocery_C
DM2 Fertility Bomb Prob	DA_DM2_FertilityBombProb	Drones	Modern	Drones	Dorones				0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_DM2_FertilityBombProb.uasset	
Doc Death House	DA_DocDeathHause	Drones	Modern	Drones	Dorones				0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_DocDeathHause.uasset	/Game/Blueprints/Buildings/DLC/Drones/DocHouses/DocDeathHouse/BP_T6DocDeathHouse.BP_T6DocDeathHouse_C
Doc Rowdy House	DA_DocRowdyHouse	Drones	Modern	Drones	Dorones				0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_DocRowdyHouse.uasset	/Game/Blueprints/Buildings/DLC/Drones/DocHouses/DocRowdyHouse/BP_T6DocRowdyHouse.BP_T6DocRowdyHouse_C
Doc Treehugger House	DA_DocTreehuggerHouse	Drones	Modern	Drones	Dorones				0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_DocTreehuggerHouse.uasset	/Game/Blueprints/Buildings/DLC/Drones/DocHouses/DocTreehuggerHouse/BP_T6DocTreehuggerHouse.BP_T6DocTreehuggerHouse_C
Home Drone Delivery Service	DA_CargoZeppelin	Drones	Modern	Drones	Dorones				0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_CargoZeppelin.uasset	/Game/Blueprints/Buildings/DLC/Drones/HomeDroneDeliveryService/BP_T6CargoZeppelin.BP_T6CargoZeppelin_C
SPEAKER	DA_T6_SPEAKER	Drones	Modern	Drones	Dorones	Decoration	Infrastructure		0	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_T6_SPEAKER.uasset	
Fertility Bomb Factory	DA_FertilityBombBuilding	Drones	Modern	Drones	Dorones	FoodAndResources	FoodResource	SoilResources	1250	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_FertilityBombBuilding.uasset	/Game/Blueprints/Buildings/DLC/Drones/FertilityBombFactory/BP_FertilityBombBuilding.BP_FertilityBombBuilding_C
Battery Plant	DA_BatteryPlant	Drones	Modern	Drones	Dorones	Industry	Industry	Industrial	10500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_BatteryPlant.uasset	/Game/Blueprints/Buildings/DLC/Drones/BatteryPlant/BP_T6BatteryPlant.BP_T6BatteryPlant_C
Drone Factory	DA_LogisticDroneFactory	Drones	Modern	Drones	Dorones	Industry	Industry	Industrial	15000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_LogisticDroneFactory.uasset	/Game/Blueprints/Buildings/DLC/Drones/DroneFactory/BP_T6LogisticDroneFactory.BP_T6LogisticDroneFactory_C
Cargo Airport	DA_CargoAirport	Drones	Modern	Drones	Dorones	Infrastructure	Infrastructure		18000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_CargoAirport.uasset	/Game/Blueprints/Buildings/DLC/Drones/CargoAirport/BP_T6CargoAirport.BP_T6CargoAirport_C
Drone Delivery Service	DA_LogisticDroneDeliveryService	Drones	Modern	Drones	Dorones	Infrastructure	Infrastructure	Industrial	1500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_LogisticDroneDeliveryService.uasset	/Game/Blueprints/Buildings/DLC/Drones/DroneDeliveryService/BP_T6_LogisticDroneDeliveryService.BP_T6_LogisticDroneDeliveryService_C
Drone Taxi Service	DA_LogisticDroneTaxiService	Drones	Modern	Drones	Dorones	Infrastructure	Infrastructure		10800	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_LogisticDroneTaxiService.uasset	/Game/Blueprints/Buildings/DLC/Drones/DroneTaxiService/BP_T6LogisticDroneTaxiService.BP_T6LogisticDroneTaxiService_C
Aerial Information Security Central	DA_AerialInformationSecurityCentral	Drones	Modern	Drones	Dorones	MediaAndEducation	MediaEducation		9500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_AerialInformationSecurityCentral.uasset	/Game/Blueprints/Buildings/DLC/Drones/AerialInformationSecurityCentral/BP_T6AerialInformationSecurityCentral.BP_T6AerialInformationSecurityCentral_C
Home Drone Delivery Service	DA_HomeDroneDeliveryService	Drones	Modern	Drones	Dorones	PublicServices	PublicService		12000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_HomeDroneDeliveryService.uasset	/Game/Blueprints/Buildings/DLC/Drones/HomeDroneDeliveryService/BP_T6HomeDroneDeliveryService.BP_T6HomeDroneDeliveryService_C
Sightseeing Office	DA_SightseeingOffice	Drones	Modern	Drones	Dorones	Tourism	Tourism		5000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Dorones\DA_SightseeingOffice.uasset	/Game/Blueprints/Buildings/DLC/Drones/SightseeingOffice/BP_T6SightseeingOffice.BP_T6SightseeingOffice_C
Dance School	DA_DanceSchool	Festival	Modern	Festival	Party	Entertainment	Entertainment	Entertainment	5500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_DanceSchool.uasset	/Game/Blueprints/Buildings/DLC/Party/Colonial/DanceSchool/BP_T6DanceSchool.BP_T6DanceSchool_C
Festival Area Cold War	DA_FestivalAreaColdWar	Festival	Modern	Festival	Party	Entertainment	Entertainment		7400	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_FestivalAreaColdWar.uasset	/Game/Blueprints/Buildings/DLC/Party/ColdWar/FestivalAreaColdWar/BP_T6FestivalAreaColdWar.BP_T6FestivalAreaColdWar_C
Festival Area Colonial	DA_FestivalAreaColonial	Festival	Modern	Festival	Party	Entertainment	Entertainment		5800	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_FestivalAreaColonial.uasset	/Game/Blueprints/Buildings/DLC/Party/Colonial/FestivalAreaColonial/BP_T6FestivalAreaColonial.BP_T6FestivalAreaColonial_C
Festival Area Modern Times	DA_FestivalAreaModernTimes	Festival	Modern	Festival	Party	Entertainment	Entertainment		9600	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_FestivalAreaModernTimes.uasset	/Game/Blueprints/Buildings/DLC/Party/ModernTimes/FestivalAreaModernTimes/BP_T6FestivalAreaModernTimes.BP_T6FestivalAreaModernTimes_C
Festival Area World War	DA_FestivalAreaWorldWar	Festival	Modern	Festival	Party	Entertainment	Entertainment		6200	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_FestivalAreaWorldWar.uasset	/Game/Blueprints/Buildings/DLC/Party/WorldWar/FestivalAreaWorldWar/BP_T6FestivalAreaWorldWar.BP_T6FestivalAreaWorldWar_C
Balloon Factory	DA_BalloonFactory	Festival	Modern	Festival	Party	Industry	Industry	Industrial	11300	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_BalloonFactory.uasset	/Game/Blueprints/Buildings/DLC/Party/WorldWar/BalloonFactory/BP_T6BalloonFactory.BP_T6BalloonFactory_C
Firework Factory	DA_FireworkFactory	Festival	Modern	Festival	Party	Industry	Industry	Industrial	10200	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_FireworkFactory.uasset	/Game/Blueprints/Buildings/DLC/Party/Colonial/FireworkFactory/BP_T6FireworkFactory.BP_T6FireworkFactory_C
Ticket Booth	DA_TicketBooth	Festival	Modern	Festival	Party	Tourism	Tourism	Tourism	8000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\BuildingData\Party\DA_TicketBooth.uasset	/Game/Blueprints/Buildings/DLC/Party/ColdWar/TicketBooth/BP_T6TicketBooth.BP_T6TicketBooth_C
Hologram Entertainment Center	DA_T6HologramEntertainmentCenter	Future Era	Modern	Future	Future	Entertainment	Entertainment	Entertainment	9000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\HologramEntertainmentCenter\DA_T6HologramEntertainmentCenter.uasset	/Game/Blueprints/Buildings/DLC/Future/HologramEntertainmentCenter/DA_T6HologramEntertainmentCenter
Reclaimer	DA_T6Reclaimer	Future Era	Modern	Future	Future	FoodAndResources	FoodResource		8500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\Reclaimer\DA_T6Reclaimer.uasset	/Game/Blueprints/Buildings/DLC/Future/Reclaimer/DA_T6Reclaimer
Synthetic Food Lab	DA_SyntheticFoodLab	Future Era	Modern	Future	Future	FoodAndResources	FoodResource		3500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\SyntheticFoodLab\DA_SyntheticFoodLab.uasset	/Game/Blueprints/Buildings/DLC/Future/SyntheticFoodLab/DA_SyntheticFoodLab
Vertical Farm	DA_T6VerticalFarm	Future Era	Modern	Future	Future	FoodAndResources	FoodResource		4000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\VerticalFarm\DA_T6VerticalFarm.uasset	/Game/Blueprints/Buildings/DLC/Future/VerticalFarm/DA_T6VerticalFarm
Dome Housing	DA_T6DomeHousing	Future Era	Modern	Future	Future	Housing	Housing	Residential	8500	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\DomeHousing\DA_T6DomeHousing.uasset	/Game/Blueprints/Buildings/DLC/Future/DomeHousing/DA_T6DomeHousing
Film Stage	DA_T6FilmStageHoax	Future Era	Modern	Future	Future	Infrastructure	Infrastructure		10000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\FilmStage\DA_T6FilmStageHoax.uasset	/Game/Blueprints/Buildings/DLC/Future/FilmStage/DA_T6FilmStageHoax
Fusion Reactor	DA_T6FusionReactor	Future Era	Modern	Future	Future	Infrastructure	Infrastructure		36000	0	0	False		C:\Program Files\Epic Games\Tropico6ModKit\Tropico6\Content\Blueprints\Buildings\DLC\Future\FusionReactor\DA_T6FusionReactor.uasset	/Game/Blueprints/Buildings/DLC/Future/FusionReactor/DA_T6FusionReactor
